College Name,City,State,Rank,Wikipedia Page,Wikidata ID,Logo Source,Logo URL,Logo Path,Confidence
M. S. Ramaiah Institute Of Technology-Bangalore,BANGALORE,Karnataka,33,Ramaiah Institute of Technology,Q6713103,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/5/5a/Ramaiah_Institutions_Logo.png,logos\m_s_ramaiah_institute_of_technology_bangalore.png,Very High (Wikipedia)
Coimbatore Institute Of Technology-Coimbatore,COIMBATORE,Tamil Nadu,34,Coimbatore Institute of Technology,Q5141504,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/1/17/Coimbatore_Institute_of_Technology_logo.png,logos\coimbatore_institute_of_technology_coimbatore.png,Very High (Wikipedia)
"National Institute Of Technology, Calicut",Calicut,Kerala,35,National Institute of Technology Calicut,Q6973731,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Correct_Logo_of_NIT_Calicut.svg/500px-Correct_Logo_of_NIT_Calicut.svg.png,logos\national_institute_of_technology_calicut.png,Very High (Wikipedia)
R.V. College Of Engineering-Bengaluru,BENGALURU,Karnataka,35,R.V. College of Engineering,Q7273419,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/commons/1/1f/New_RV_College_logo.png,logos\r_v_college_of_engineering_bengaluru.png,Very High (Wikipedia)
"Malaviya National Institute Of Technology, Jaipur",Jaipur,Rajasthan,37,"Malaviya National Institute of Technology, Jaipur",Q12446581,Tier 5: Header Logo,https://mnit.ac.in/Images/Mnit_logo.png,logos\malaviya_national_institute_of_technology_jaipur.png,Medium
"University College of Engineering, Osmania University, Hyderabad",Hyderabad,Telangana,38,"University College of Engineering, Osmania University",Q7894649,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/3/3c/University_College_of_Engineering%2C_Osmania_University_logo.png,logos\university_college_of_engineering_osmania_university_hyderabad.png,Very High (Wikipedia)
Pec University Of Technology-Chandigarh,CHANDIGARH,Chandigarh,38,List of deemed universities,Q6615778,Tier 3: Favicon HTML,https://pec.ac.in/sites/default/files/favicon-1.png,logos\pec_university_of_technology_chandigarh.png,High
"Punjab Agricultural University, Ludhiana",Ludhiana,Punjab,40,Punjab Agricultural University,Q7260235,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/d/dc/Punjab_Agricultural_University_logo.png,logos\punjab_agricultural_university_ludhiana.png,Very High (Wikipedia)
"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,41,Andhra University,Q3521052,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/c/c7/Andhra_University_logo.png,logos\andhra_university_visakhapatnam.png,Very High (Wikipedia)
Alagappa University,Karaikudi,Tamil Nadu,43,Anna University,Q165053,Tier 5: Header Logo,https://alagappauniversity.ac.in/img/core-img/logo.png,logos\alagappa_university.png,Medium
Karunya University - Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,44,Karunya Institute of Technology and Sciences,Q6373705,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Karunya_Institute_of_Technology_and_Sciences_logo.svg/500px-Karunya_Institute_of_Technology_and_Sciences_logo.svg.png,logos\karunya_university_karunya_institute_of_technology_and_sciences.png,Very High (Wikipedia)
LPU Jalandhar - Lovely Professional University,Phagwara,Punjab,45,,,Tier 4: OpenGraph,https://www.lpu.in/images/logo/logo-media.png,logos\lpu_jalandhar_lovely_professional_university.png,High
MNIT Jaipur - Malaviya National Institute of Technology,Jaipur,Rajasthan,46,"Malaviya National Institute of Technology, Jaipur",Q12446581,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/b/b7/Mnit_logo.png,logos\mnit_jaipur_malaviya_national_institute_of_technology.png,Very High (Wikipedia)
"National Institute Of Technology, Kurukshetra",Kurukshetra,Haryana,48,"National Institute of Technology, Kurukshetra",Q6973715,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/7/75/National_Institute_of_Technology%2C_Kurukshetra_Logo.png,logos\national_institute_of_technology_kurukshetra.png,Very High (Wikipedia)
"Visvesvaraya Technological University, Belagavi",Belgaum,Karnataka,49,Visvesvaraya Technological University,Q7936658,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/a/a0/Visvesvaraya_Technological_University_logo.png,logos\visvesvaraya_technological_university_belagavi.png,Very High (Wikipedia)
TATA Institute of Social Sciences,Mumbai,Maharashtra,49,Tata Institute of Social Sciences,Q2151120,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Tata_Institute_of_Social_Sciences_Logo.svg/500px-Tata_Institute_of_Social_Sciences_Logo.svg.png,logos\tata_institute_of_social_sciences.png,Very High (Wikipedia)
Cochin University Of Science And Technology-Cochin,COCHIN,Kerala,50,Cochin University of Science and Technology,Q3530803,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/6/6f/Cochin_University_of_Science_and_Technology_Logo.png,logos\cochin_university_of_science_and_technology_cochin.png,Very High (Wikipedia)
"National Institute Of Technology, Hamirpur",Hamirpur,Himachal Pradesh,51,"National Institute of Technology, Hamirpur",Q783251,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/b/b8/National_Institute_of_Technology%2C_Hamirpur_Logo.png,logos\national_institute_of_technology_hamirpur.png,Very High (Wikipedia)
"National Institute Of Technology, Agartala",Agartala,Tripura,52,,,Tier 3: Favicon HTML,https://nita.ac.in/images/logo.png,logos\national_institute_of_technology_agartala.png,High
Sathyabama University - Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,54,Sathyabama Institute of Science and Technology,Q7426174,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/1/13/Sathyabama_Institute_of_Science_and_Technology_logo.png,logos\sathyabama_university_sathyabama_institute_of_science_and_technology.png,Very High (Wikipedia)
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,54,Sri Ramachandra Institute of Higher Education and Research,Q7586213,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/5/53/SRMC%26RI_Official_Logo.png,logos\sri_ramachandra_institute_of_higher_education_and_research.png,Very High (Wikipedia)
"National Institute Of Technology, Meghalaya",Shillong,Meghalaya,57,"National Institute of Technology, Meghalaya",Q6973737,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/d/dd/National_Institute_of_Technology%2C_Meghalaya_logo.png,logos\national_institute_of_technology_meghalaya.png,Very High (Wikipedia)
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,58,Babasaheb Bhimrao Ambedkar University,Q797585,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/7/75/Babasaheb_Bhimrao_Ambedkar_University_logo.png,logos\babasaheb_bhimrao_ambedkar_university.png,Very High (Wikipedia)
Tamil Nadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu,60,Tamil Nadu Veterinary and Animal Sciences University,Q7681360,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/e/e1/Tamil_Nadu_Veterinary_and_Animal_Science_University_logo.png,logos\tamil_nadu_veterinary_animal_sciences_university.png,Very High (Wikipedia)
Anand Agricultural University,Anand,Gujarat,62,Anand Agricultural University,Q4751234,Tier 5: Header Logo,https://aau.in/sites/all/themes/sr2015/images/template/logo.png,logos\anand_agricultural_university.png,Medium
North Eastern Hill University,Shillong,Meghalaya,62,North-Eastern Hill University,Q7055270,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/4/48/North-Eastern_Hill_University_Logo.png,logos\north_eastern_hill_university.png,Very High (Wikipedia)
Gujarat University,Ahmedabad,Gujarat,62,Gujarat University,Q507349,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/f/f8/Gujarat_University_Logo.png,logos\gujarat_university.png,Very High (Wikipedia)
"National Institute Of Technology, Raipur",Raipur,Chhattisgarh,63,,,Tier 5: Header Logo,https://nitrr.ac.in/images/nitrr_new_logo_new.png,logos\national_institute_of_technology_raipur.png,Medium
Vishwakarma Institute Of Technology-Pune,PUNE,Maharashtra,64,Vishwakarma Institute of Technology,Q7936047,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/f/f0/Vishwakarma_Institute_of_Technology.png,logos\vishwakarma_institute_of_technology_pune.png,Very High (Wikipedia)
National Institute Of Science & Technology-Berhampur,BERHAMPUR,Odisha,69,Ulsan National Institute of Science and Technology,Q484108,Tier 1: Wikidata P154,https://upload.wikimedia.org/wikipedia/commons/9/9a/Unist_logo.png,logos\national_institute_of_science_technology_berhampur.png,Very High (Wikipedia)
Siddaganga Institute Of Technology-Tumkur,TUMKUR,Karnataka,70,List of engineering colleges affiliated to Visvesvaraya Technological University,Q6610597,Tier 5: Header Logo,https://sit.ac.in/wp-content/uploads/2025/03/SIT-Logo-1.png,logos\siddaganga_institute_of_technology_tumkur.png,Medium
Shiv Nadar University,Chithera,Uttar Pradesh,72,,,Tier 3: Favicon HTML,https://snu.edu.in/site/templates/images/favicon.png,logos\shiv_nadar_university.png,High
C.V.Raman College Of Engineering-Bhubaneswar,BHUBANESWAR,Odisha,74,C. V. Raman Global University,Q5006919,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/6/6a/C._V._Raman_Global_University_Logo.png,logos\c_v_raman_college_of_engineering_bhubaneswar.png,Very High (Wikipedia)
Jagadguru Sri Shivarathreeshwara University,Mysore,Karnataka,74,List of deemed universities,Q6615778,Tier 5: Header Logo,https://jssateb.ac.in/assets/images/logo/jssate.png,logos\jagadguru_sri_shivarathreeshwara_university.png,Medium
"National Institute Of Technology, Jamshedpur",Jamshedpur,Jharkhand,78,"National Institute of Technology, Jamshedpur",Q12062406,Tier 3: Favicon HTML,https://nitjsr.ac.in/logo_final.png,logos\national_institute_of_technology_jamshedpur.png,High
Guru Nanak Dev University,Amritsar,Punjab,80,Guru Nanak Dev University,Q5620404,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/1/1a/Guru_Nanak_Dev_University_Logo.png,logos\guru_nanak_dev_university.png,Very High (Wikipedia)
College Of Technology And Engineering-Udaipur,UDAIPUR,Rajasthan,82,"College of Technology & Engineering, Udaipur",Q5146854,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/commons/8/8e/College_of_Technology_%26_Engineering%2C_Udaipur.png,logos\college_of_technology_and_engineering_udaipur.png,Very High (Wikipedia)
"National Institute Of Technology, Patna",Patna,Bihar,87,"National Institute of Technology, Patna",Q6973717,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/b/b5/National_Institute_of_Technology%2C_Patna_Logo.png,logos\national_institute_of_technology_patna.png,Very High (Wikipedia)
Bharath Institute of Higher Education and Research,Chennai,Tamil Nadu,91,Bharath Institute of Higher Education and Research,Q4901179,Tier 1: Wikidata P154,https://upload.wikimedia.org/wikipedia/commons/7/70/Bharath_University_Signature.png,logos\bharath_institute_of_higher_education_and_research.png,Very High (Wikipedia)
"Government College Of Engineering, Aurangabad (Academic Autonomous)",AURANGABAD,Maharashtra,97,"Government College of Engineering, Amravati",Q5588741,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/0/08/Government_College_of_Engineering%2C_Amravati_logo.png,logos\government_college_of_engineering_aurangabad_academic_autonomous.png,Very High (Wikipedia)
Periyar University,Salem,Tamil Nadu,97,Periyar University,Q7168984,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/8/8a/Periyar_University_logo.png,logos\periyar_university.png,Very High (Wikipedia)
"Bangalore University, Bangalore",Bangalore,Karnataka,98,Bangalore University,Q3519221,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/3/34/Bangalore_University_logo.png,logos\bangalore_university_bangalore.png,Very High (Wikipedia)
MMMUT Gorakhpur - Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,99,,,Tier 3: Favicon HTML,https://mmmut.ac.in/images/logo1.png,logos\mmmut_gorakhpur_madan_mohan_malaviya_university_of_technology.png,High
"Birla Institute of Technology, Mesra (BIT Mesra) - Birla Institute of Technology",Kolkata,West Bengal,53,"Birla Institute of Technology, Mesra",Q179781,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/d/d2/Birla_Institute_of_Technology_Mesra.png,logos\birla_institute_of_technology_mesra_bit_mesra_birla_institute_of_technology.png,Very High (Wikipedia)
IIIT Hyderabad - International Institute of Information Technology,Hyderabad,Telangana,62,,,Manual Patch (Corrected),https://upload.wikimedia.org/wikipedia/en/e/e1/International_Institute_of_Information_Technology%2C_Hyderabad_logo.png,logos\iiit_hyderabad_international_institute_of_information_technology.png,Very High
IIIT Delhi - Indraprastha Institute of Information Technology,New Delhi,Delhi,69,"Indraprastha Institute of Information Technology, Delhi",Q17056472,Tier 1: Wikidata P154,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/IIIT-Delhi_Insignia.svg/500px-IIIT-Delhi_Insignia.svg.png,logos\iiit_delhi_indraprastha_institute_of_information_technology.png,Very High (Wikipedia)
MANIT Bhopal - Maulana Azad National Institute of Technology,Nadia,West Bengal,70,Maulana Azad National Institute of Technology,Q6792425,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/4/4f/Maulana_Azad_National_Institute_of_Technology_Logo.png,logos\manit_bhopal_maulana_azad_national_institute_of_technology.png,Very High (Wikipedia)
JNTUH University - Jawaharlal Nehru Technological University,Hyderabad,Telangana,76,,,Tier 3: Favicon HTML,https://jntua.ac.in/logo192.png,logos\jntuh_university_jawaharlal_nehru_technological_university.png,High
NSUT Delhi - Netaji Subhas University of Technology,Delhi,Delhi,79,Netaji Subhas University of Technology,Q3346318,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Netaji_Subhas_University_of_Technology.svg/500px-Netaji_Subhas_University_of_Technology.svg.png,logos\nsut_delhi_netaji_subhas_university_of_technology.png,Very High (Wikipedia)
Vel Tech Chennai - Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology,Chennai,Tamil Nadu,84,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Q24590282,Tier 5: Header Logo,https://www.veltech.edu.in/wp-content/uploads/2026/01/veltech-logo-.png,logos\vel_tech_chennai_vel_tech_rangarajan_dr_sagunthala_r_and_d_institute_of_science_and_technology.png,Medium
PEC Chandigarh - Punjab Engineering College,Chandigarh,Chandigarh,87,Punjab Engineering College,Q7118905,Tier 3: Favicon HTML,https://pec.ac.in/sites/default/files/favicon-1.png,logos\pec_chandigarh_punjab_engineering_college.png,High
IIIT Allahabad - Indian Institute of Information Technology,Prayagraj,Uttar Pradesh,93,"Indian Institute of Information Technology, Pune",Q28129691,Tier 3: Favicon HTML,https://iiitl.ac.in/wp-content/uploads/2019/10/cropped-Final_Logo_IIITL-150x150.png,logos\iiit_allahabad_indian_institute_of_information_technology.png,High
"CV Raman Global University, Bhubaneswar",Khordha,Odisha,98,C. V. Raman Global University,Q5006919,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/6/6a/C._V._Raman_Global_University_Logo.png,logos\cv_raman_global_university_bhubaneswar.png,Very High (Wikipedia)
"PES University, Bangalore",Bengaluru,Karnataka,100,PES University,Q17082766,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/9/9e/PES-University-Bangalore.png,logos\pes_university_bangalore.png,Very High (Wikipedia)
VSSUT Sambalpur - Veer Surendra Sai University of Technology,Burla,Odisha,111,Veer Surendra Sai University of Technology,Q7918113,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Logo_vssut.svg/500px-Logo_vssut.svg.png,logos\vssut_sambalpur_veer_surendra_sai_university_of_technology.png,Very High (Wikipedia)
VNR VJIET Hyderabad - VNR Vignana Jyothi Institute of Engineering and Technology,Ghaziabad,Uttar Pradesh,113,VNR Vignana Jyothi Institute of Engineering and Technology,Q7907349,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/e/e5/Official_logo_of_VNRVJIET.png,logos\vnr_vjiet_hyderabad_vnr_vignana_jyothi_institute_of_engineering_and_technology.png,Very High (Wikipedia)
"Nirma University, Ahmedabad",Ahmedabad,Gujarat,125,Nirma University,Q2763240,Tier 5: Header Logo,https://nirmawebsite.s3.ap-south-1.amazonaws.com/wp-content/uploads/2022/06/216X92.png,logos\nirma_university_ahmedabad.png,Medium
"Amity University, Jaipur",Jaipur,Rajasthan,133,"Amity University, Jaipur",Q24939254,Tier 6: JSON-LD,https://www.amity.edu/jaipur/images/logo.png,logos\amity_university_jaipur.png,Medium
"YMCA Faridabad - JC Bose University of Science and Technology, YMCA",Faridabad,Haryana,143,"J.C. Bose University of Science and Technology, YMCA",Q8045956,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/a/ae/J.C._Bose_University_of_Science_and_Technology%2C_YMCA_logo.png,logos\ymca_faridabad_jc_bose_university_of_science_and_technology_ymca.png,Very High (Wikipedia)
Chitkara University Chandigarh - Chitkara University,DHANBAD,Jharkhand,144,"Chitkara University, Punjab",Q5102255,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/commons/a/a0/Chitkara_University%2C_Punjab_logo.png,logos\chitkara_university_chandigarh_chitkara_university.png,Very High (Wikipedia)
NIFFT Ranchi - National Institute of Advanced Manufacturing Technology,Ranchi,Jharkhand,150,National Institute of Advanced Manufacturing Technology,Q6973652,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/National_Institute_of_Advanced_Manufacturing_Technology_Logo.svg/500px-National_Institute_of_Advanced_Manufacturing_Technology_Logo.svg.png,logos\nifft_ranchi_national_institute_of_advanced_manufacturing_technology.png,Very High (Wikipedia)
"JSS Science and Technology University, Mysuru",Mysuru,Karnataka,158,List of engineering colleges affiliated to Visvesvaraya Technological University,Q6610597,Tier 5: Header Logo,https://www.jssaten.ac.in\/assets/images/logo/jsslogoicon.png,logos\jss_science_and_technology_university_mysuru.png,Medium
"Sharda University, Greater Noida",Greater Noida,Uttar Pradesh,164,Sharda University,Q7489464,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/1/16/Sharda_University_logo_no_wordmark.png,logos\sharda_university_greater_noida.png,Very High (Wikipedia)
"Easwari Engineering College, Chennai",Chennai,Tamil Nadu,181,Easwari Engineering College,Q5331052,Tier 1: Wikipedia Infobox,https://upload.wikimedia.org/wikipedia/en/b/bf/Easwari_Engineering_College_logo.png,logos\easwari_engineering_college_chennai.png,Very High (Wikipedia)
